,Green Waste,Yellow Waste,Red Waste,Disposed Waste,Progress
76,4,11,11,2,0.11764705882352941
77,4,11,11,2,0.11764705882352941
78,4,11,11,2,0.11764705882352941
79,4,11,11,2,0.11764705882352941
80,4,11,11,2,0.11764705882352941
81,4,11,11,3,0.17647058823529413
82,4,11,11,3,0.17647058823529413
83,4,11,11,3,0.17647058823529413
84,4,11,11,3,0.17647058823529413
85,4,11,11,3,0.17647058823529413
86,4,11,11,3,0.17647058823529413
87,4,11,11,3,0.17647058823529413
88,4,11,11,3,0.17647058823529413
89,4,11,11,3,0.17647058823529413
90,4,11,11,3,0.17647058823529413
91,4,11,11,3,0.17647058823529413
92,4,11,11,3,0.17647058823529413
93,4,11,11,3,0.17647058823529413
94,4,11,11,3,0.17647058823529413
95,4,11,11,3,0.17647058823529413
96,4,11,11,3,0.17647058823529413
97,4,11,11,3,0.17647058823529413
98,4,11,11,3,0.17647058823529413
99,2,12,11,3,0.17647058823529413
100,2,12,11,3,0.17647058823529413
101,2,12,11,3,0.17647058823529413
102,2,12,11,3,0.17647058823529413
103,2,12,11,3,0.17647058823529413
104,2,12,11,3,0.17647058823529413
105,2,12,11,3,0.17647058823529413
106,2,12,11,3,0.17647058823529413
107,2,12,11,3,0.17647058823529413
108,2,12,11,3,0.17647058823529413
109,2,12,11,3,0.17647058823529413
110,2,12,11,3,0.17647058823529413
111,2,12,11,3,0.17647058823529413
112,2,12,11,3,0.17647058823529413
113,2,12,11,3,0.17647058823529413
114,2,12,11,3,0.17647058823529413
115,2,12,11,3,0.17647058823529413
116,2,12,11,3,0.17647058823529413
117,2,12,11,3,0.17647058823529413
118,2,12,11,3,0.17647058823529413
119,2,12,11,3,0.17647058823529413
120,2,12,11,3,0.17647058823529413
121,2,12,11,3,0.17647058823529413
122,2,12,11,3,0.17647058823529413
123,2,12,11,3,0.17647058823529413
124,2,12,11,3,0.17647058823529413
125,2,12,11,3,0.17647058823529413
126,2,12,11,3,0.17647058823529413
127,2,12,11,3,0.17647058823529413
128,2,12,11,3,0.17647058823529413
129,2,12,11,3,0.17647058823529413
130,2,12,11,3,0.17647058823529413
131,2,12,11,3,0.17647058823529413
132,2,12,11,3,0.17647058823529413
133,2,12,11,3,0.17647058823529413
134,2,12,11,3,0.17647058823529413
135,2,12,11,3,0.17647058823529413
136,2,12,11,3,0.17647058823529413
137,2,12,11,3,0.17647058823529413
138,2,12,11,3,0.17647058823529413
139,2,12,11,3,0.17647058823529413
140,2,12,11,3,0.17647058823529413
141,2,12,11,3,0.17647058823529413
142,2,12,11,3,0.17647058823529413
143,2,12,11,3,0.17647058823529413
144,2,12,11,3,0.17647058823529413
145,2,12,11,3,0.17647058823529413
146,2,12,11,3,0.17647058823529413
147,2,12,11,3,0.17647058823529413
148,2,12,11,3,0.17647058823529413
149,2,12,11,3,0.17647058823529413
150,2,10,12,3,0.17647058823529413
151,2,10,12,3,0.17647058823529413
152,2,10,12,3,0.17647058823529413
153,2,10,12,3,0.17647058823529413
154,2,10,12,3,0.17647058823529413
155,2,10,12,3,0.17647058823529413
156,2,10,12,3,0.17647058823529413
157,2,10,12,3,0.17647058823529413
158,2,10,12,3,0.17647058823529413
159,2,10,12,3,0.17647058823529413
160,2,10,12,3,0.17647058823529413
161,2,10,12,3,0.17647058823529413
162,2,8,13,3,0.17647058823529413
163,2,8,13,3,0.17647058823529413
164,2,8,13,3,0.17647058823529413
165,2,8,13,3,0.17647058823529413
166,2,8,13,3,0.17647058823529413
167,2,8,13,3,0.17647058823529413
168,2,8,13,3,0.17647058823529413
169,2,8,13,3,0.17647058823529413
170,2,8,13,3,0.17647058823529413
171,2,8,13,3,0.17647058823529413
172,2,8,13,3,0.17647058823529413
173,2,8,13,3,0.17647058823529413
174,2,8,13,3,0.17647058823529413
175,2,8,13,3,0.17647058823529413
176,2,8,13,3,0.17647058823529413
177,2,8,13,3,0.17647058823529413
178,2,8,13,3,0.17647058823529413
179,2,6,14,3,0.17647058823529413
180,2,6,14,3,0.17647058823529413
181,2,6,14,3,0.17647058823529413
182,2,6,14,3,0.17647058823529413
183,2,6,14,3,0.17647058823529413
184,2,6,14,3,0.17647058823529413
185,2,6,14,3,0.17647058823529413
186,2,6,14,3,0.17647058823529413
187,2,6,14,3,0.17647058823529413
188,2,6,14,3,0.17647058823529413
189,2,6,14,3,0.17647058823529413
190,2,6,14,3,0.17647058823529413
191,2,6,14,3,0.17647058823529413
192,2,6,14,3,0.17647058823529413
193,2,6,14,3,0.17647058823529413
194,2,6,14,3,0.17647058823529413
195,2,6,14,3,0.17647058823529413
196,2,6,14,3,0.17647058823529413
197,2,6,14,3,0.17647058823529413
198,2,6,14,3,0.17647058823529413
199,2,6,14,3,0.17647058823529413
200,2,6,14,3,0.17647058823529413
