Step,AgentID,Color,Transporting,Position
14,1123,green,[1095],"(5, 20)"
14,1124,green,[],"(9, 27)"
14,1125,yellow,[],"(10, 2)"
14,1126,yellow,[],"(10, 26)"
14,1127,yellow,[],"(10, 25)"
14,1128,yellow,[1109],"(10, 17)"
14,1129,yellow,[],"(10, 23)"
14,1130,red,[1111],"(32, 9)"
14,1131,red,[],"(21, 26)"
14,1132,red,[],"(21, 4)"
14,1133,red,[],"(21, 27)"
14,1134,red,[1118],"(32, 21)"
15,1120,green,[],"(6, 2)"
15,1121,green,[],"(2, 26)"
15,1122,green,[],"(8, 31)"
15,1123,green,[1095],"(4, 19)"
15,1124,green,[],"(8, 27)"
15,1125,yellow,[],"(10, 3)"
15,1126,yellow,[],"(10, 25)"
15,1127,yellow,[],"(10, 24)"
15,1128,yellow,[1109],"(10, 16)"
15,1129,yellow,[],"(10, 24)"
15,1130,red,[1111],"(32, 10)"
15,1131,red,[],"(21, 25)"
15,1132,red,[],"(21, 3)"
15,1133,red,[],"(21, 26)"
15,1134,red,[1118],"(32, 22)"
16,1120,green,[],"(6, 3)"
16,1121,green,[],"(1, 25)"
16,1122,green,[],"(9, 30)"
16,1123,green,[1095],"(3, 18)"
16,1124,green,[],"(7, 26)"
16,1125,yellow,[],"(10, 4)"
16,1126,yellow,[],"(10, 26)"
16,1127,yellow,[],"(10, 23)"
16,1128,yellow,[1109],"(10, 17)"
16,1129,yellow,[],"(10, 25)"
16,1130,red,[1111],"(32, 11)"
16,1131,red,[],"(21, 24)"
16,1132,red,[],"(21, 4)"
16,1133,red,[],"(21, 25)"
16,1134,red,[1118],"(32, 23)"
17,1120,green,[1097],"(6, 4)"
17,1121,green,[],"(0, 26)"
17,1122,green,[],"(8, 29)"
17,1123,green,[1095],"(2, 19)"
17,1124,green,[],"(6, 27)"
17,1125,yellow,[],"(10, 3)"
17,1126,yellow,[],"(10, 25)"
17,1127,yellow,[],"(10, 24)"
17,1128,yellow,[1109],"(10, 16)"
17,1129,yellow,[],"(10, 24)"
17,1130,red,[1111],"(32, 12)"
17,1131,red,[],"(21, 23)"
17,1132,red,[],"(21, 5)"
17,1133,red,[],"(21, 26)"
17,1134,red,[1118],"(32, 24)"
18,1120,green,[1097],"(6, 5)"
18,1121,green,[],"(1, 26)"
18,1122,green,[],"(8, 30)"
18,1123,green,[1095],"(3, 20)"
18,1124,green,[],"(5, 26)"
18,1125,yellow,[],"(10, 4)"
18,1126,yellow,[],"(10, 26)"
18,1127,yellow,[],"(10, 25)"
18,1128,yellow,[1109],"(10, 17)"
18,1129,yellow,[],"(10, 23)"
18,1130,red,[1111],"(32, 13)"
18,1131,red,[],"(21, 24)"
18,1132,red,[],"(21, 6)"
18,1133,red,[],"(21, 25)"
18,1134,red,[1118],"(32, 25)"
19,1120,green,[1097],"(6, 6)"
19,1121,green,[],"(2, 27)"
19,1122,green,[],"(8, 31)"
19,1123,green,[1095],"(2, 21)"
19,1124,green,[],"(4, 27)"
19,1125,yellow,[],"(10, 5)"
19,1126,yellow,[],"(10, 25)"
19,1127,yellow,[],"(10, 26)"
19,1128,yellow,[1109],"(10, 16)"
19,1129,yellow,[],"(10, 22)"
19,1130,red,[1111],"(32, 14)"
19,1131,red,[],"(21, 23)"
